wordCount,sentCount,characCount,declarativeSent,imperativeSent,intterrogativeSent,exclamatorySent,exitentialSent,toBeCount,passiveSent,startPronoun,verbCount,adjCount,nounCount,modalCount,paragCount,bulletCount,imgCount,avgParag,shortSent,numOfSec,avgSecLen,shortLen,flesh,smog,variety(stemmed),Cov-Cor,Discern
7472,413,37292,0.738498789,0.072639225,0.05811138,0,0.001788133,0.03372591,0.159806295,0.11622276,0.167425054,0.074009636,0.343816916,0.023019272,154,99,0,3,29,63,115,11,10.4,8.8,0.16994777,quality,quality
7929,535,39797,0.676635514,0.128971963,0.05046729,0,0.001264739,0.038844747,0.248598131,0.760747664,0.15512675,0.072518603,0.292849035,0.020431328,207,138,0,3,31,63,121,11,8.2,8.1,0.175790677,quality,quality
5239,300,26964,0.77,0.073333333,0.013333333,0.006666667,0.002566667,0.045810269,0.236666667,0.133333333,0.168734491,0.07577782,0.340523001,0.017942355,133,126,0,2,34,38,135,24,10,9.1,0.190585534,quality,quality
3537,198,17378,0.777777778,0.136363636,0.01010101,0,0.003928171,0.026293469,0.050505051,0.176767677,0.146734521,0.084817642,0.336726039,0.025445293,93,116,3,2,36,27,125,4,10,8.7,0.213114754,quality,quality
22188,951,127037,0.906414301,0.004206099,0.004206099,0,0.000953117,0.038444204,0.318611987,0.043112513,0.136560303,0.102532901,0.402875428,0.008743465,254,132,42,4,40,102,212,4,12.9,11.5,0.154867257,quality,quality
7666,389,38211,0.699228792,0.128534704,0,0,0.001797503,0.032872424,0.233933162,0.151670951,0.178972085,0.086485781,0.321288808,0.028698148,339,80,10,1,33,71,105,12,9.8,8.8,0.143302585,quality,quality
5329,373,27548,0.646112601,0.117962466,0.061662198,0,0.001732205,0.023644211,0.085790885,0.067024129,0.154625633,0.090636142,0.361606305,0.023081254,54,105,0,7,32,32,163,4,9.2,8.6,0.20078814,quality,quality
432,33,2135,0.848484848,0,0,0,0.025711662,0.023148148,0,0.03030303,0.159722222,0.071759259,0.372685185,0.027777778,9,6,0,4,27,2,214,208,7.4,6.8,0.377314815,nonquality,nonquality
3764,228,17943,0.697368421,0.083333333,0.057017544,0.013157895,0.003058633,0.04357067,0.083333333,0.144736842,0.186769394,0.08501594,0.289319872,0.020456961,65,79,0,4,33,27,134,12,8.5,7.8,0.191121744,nonquality,nonquality
14630,764,75232,0.638743455,0.082460733,0.083769634,0.006544503,0.000836052,0.031989064,0.102094241,0.069371728,0.153110048,0.074709501,0.370471634,0.019138756,285,392,2,3,34,133,106,3,10.8,9.3,0.127605421,quality,quality
3710,165,19356,0.884848485,0.03030303,0.012121212,0,0.005362718,0.032884097,0.181818182,0.090909091,0.156603774,0.092991914,0.361994609,0.019946092,133,70,1,1,32,36,98,9,11.9,10.7,0.232884097,quality,quality
10868,572,53998,0.746503497,0.101398601,0.017482517,0.001748252,0.001305076,0.028708134,0.118881119,0.064685315,0.171696724,0.090817078,0.336400442,0.026775856,195,99,25,3,31,60,290,2,9.6,8.1,0.120261318,quality,nonquality
10383,642,50841,0.742990654,0.046728972,0.046728972,0.003115265,0.001157306,0.046807281,0.295950156,0.109034268,0.173456612,0.087258018,0.313589521,0.023211018,149,116,4,4,28,66,191,5,8.5,8,0.120485409,quality,quality
4039,203,19694,0.674876847,0.083743842,0.073891626,0.004926108,0.003324516,0.033176529,0.113300493,0.123152709,0.165387472,0.083931666,0.320871503,0.02624412,18,10,7,11,37,24,163,11,9.2,8.6,0.221837088,quality,quality
4100,222,21268,0.77027027,0.063063063,0.040540541,0,0.003469686,0.037317073,0.216216216,0.099099099,0.170487805,0.082926829,0.344146341,0.022439024,72,41,0,3,28,34,115,43,10.5,9.1,0.208140385,quality,nonquality
5795,282,28302,0.769503546,0.095744681,0.014184397,0,0.002728736,0.028472821,0.120567376,0.124113475,0.165142364,0.077480587,0.327351165,0.020707506,35,47,10,8,37,16,352,7,11,8.7,0.162381363,quality,quality
3778,210,20002,0.857142857,0.038095238,0.014285714,0,0.004081633,0.040762308,0.238095238,0.057142857,0.161990471,0.079407094,0.366860773,0.017469561,66,23,1,3,35,28,131,2,11.3,9.9,0.195341451,quality,quality
8481,468,43201,0.724358974,0.134615385,0.006410256,0.002136752,0.001547776,0.03395826,0.158119658,0.102564103,0.161773376,0.095271784,0.353142318,0.018276147,66,256,0,7,33,68,121,14,10.3,8.5,0.148336688,nonquality,nonquality
3873,129,20904,0.775193798,0.07751938,0.054263566,0,0.006009254,0.040020656,0.209302326,0.031007752,0.145881745,0.099922541,0.369997418,0.012393493,96,62,6,1,52,22,170,25,12,10,0.24419205,quality,quality
3600,238,18578,0.647058824,0.205882353,0.037815126,0,0.002718735,0.029444444,0.06302521,0.088235294,0.163055556,0.097777778,0.356388889,0.022222222,59,81,2,4,29,37,94,11,9,8.2,0.241388889,nonquality,quality
6160,327,30640,0.681957187,0.140672783,0.088685015,0,0.002085496,0.036201299,0.186544343,0.146788991,0.175649351,0.073051948,0.311850649,0.023863636,102,85,4,3,34,89,64,5,10.6,9.2,0.167478882,quality,quality
5278,381,24426,0.446194226,0.356955381,0.076115486,0.023622047,0.001171113,0.023493748,0.026246719,0.070866142,0.17165593,0.097574839,0.336680561,0.014588859,127,171,7,3,26,46,102,11,6.4,7.1,0.150246305,nonquality,nonquality
7145,328,35286,0.74695122,0.06402439,0.054878049,0.00304878,0.00227729,0.041707488,0.204268293,0.033536585,0.161931421,0.087193842,0.344576627,0.02393282,220,114,22,1,35,78,87,5,11.6,9.3,0.153835386,quality,quality
2864,144,15128,0.861111111,0,0.013888889,0,0.005979938,0.040153631,0.319444444,0.013888889,0.148743017,0.100558659,0.387918994,0.020600559,68,47,0,2,35,29,95,31,12.3,9.7,0.228860936,nonquality,nonquality
11706,704,60110,0.663352273,0.088068182,0.120738636,0,0.000942262,0.037843841,0.146306818,0.099431818,0.163335042,0.075773108,0.348795489,0.021271143,389,31,42,2,31,34,342,112,9.7,9.3,0.127659574,quality,quality
3146,157,15988,0.617834395,0.038216561,0.203821656,0.012738854,0.003935251,0.04259377,0.222929936,0.038216561,0.158296249,0.087412587,0.370947235,0.010171647,36,49,0,4,38,6,520,47,10.5,9.3,0.232040687,quality,quality
10937,749,52284,0.594125501,0.209612817,0.097463284,0.001335113,0.000793225,0.021669562,0.021361816,0.137516689,0.150041145,0.080643687,0.361433666,0.022035293,175,414,63,4,34,109,95,4,6.7,7.2,0.103126714,quality,quality
825,47,4281,0.914893617,0,0,0,0.019465822,0.04969697,0.212765957,0.085106383,0.16969697,0.08969697,0.344242424,0.021818182,17,0,2,3,30,3,272,129,11.3,9.4,0.370280146,nonquality,nonquality
3237,178,15404,0.674157303,0.08988764,0.04494382,0,0.003787401,0.020080321,0.084269663,0.252808989,0.163113994,0.078158789,0.306456596,0.030892802,4,77,1,45,34,24,128,6,8.9,8.3,0.202104612,quality,nonquality
6324,433,31218,0.669745958,0.184757506,0.03926097,0,0.001546757,0.027514231,0.099307159,0.140877598,0.162713472,0.083807717,0.358791904,0.026565465,185,137,0,2,25,31,200,1,7.8,7.4,0.1685642,quality,quality
2546,140,13588,0.7,0.035714286,0.142857143,0.007142857,0.005,0.043990573,0.171428571,0.057142857,0.148860958,0.09230165,0.394344069,0.019638649,29,104,0,5,40,23,102,48,11.6,9.9,0.249802994,quality,quality
2202,87,11297,0.908045977,0.011494253,0,0,0.01043731,0.034059946,0.24137931,0.08045977,0.136239782,0.092188919,0.385558583,0.015440509,51,47,0,2,48,17,127,3,13.2,10.4,0.301998183,quality,nonquality
24055,1279,123060,0.682564504,0.111806099,0.04691165,0.008600469,0.00053367,0.034961546,0.117279124,0.045347928,0.144086469,0.104926211,0.378133444,0.016545417,535,501,77,2,37,206,111,2,10.3,8.9,0.084809179,quality,quality
4455,186,21852,0.688172043,0.102150538,0.059139785,0.005376344,0.00369985,0.025364759,0.086021505,0.048387097,0.172839506,0.077665544,0.323232323,0.018855219,21,3,4,9,42,10,159,3,9.8,8.6,0.328134027,quality,nonquality
2479,130,13403,0.838461538,0.007692308,0.007692308,0,0.006449704,0.037515127,0.261538462,0.153846154,0.141589351,0.088745462,0.420330779,0.022589754,21,20,0,6,40,20,115,14,11.6,10.4,0.244453409,quality,quality
11272,459,58431,0.764705882,0.032679739,0.010893246,0.004357298,0.001666026,0.032647268,0.14379085,0.082788671,0.149751597,0.103176011,0.343594748,0.012065295,338,13,0,1,44,35,313,98,11.3,10.1,0.168870352,nonquality,nonquality
7283,350,37698,0.717142857,0.082857143,0.017142857,0.005714286,0.00204898,0.024165866,0.08,0.068571429,0.152409721,0.085129754,0.373609776,0.017437869,3,139,0,117,39,41,173,4,10.9,9.7,0.173265278,quality,nonquality
16085,689,81744,0.825834543,0.020319303,0.020319303,0.001451379,0.001198599,0.03817221,0.287373004,0.100145138,0.155859496,0.084239975,0.345663662,0.015853279,220,4,0,3,35,44,363,87,11.5,9.7,0.12477441,quality,quality
5481,325,27067,0.627692308,0.046153846,0,0.024615385,0.001931361,0.040321109,0.218461538,0.116923077,0.157817916,0.091041781,0.329866813,0.017879949,2,139,0,163,32,14,387,12,8.8,8.2,0.219258177,nonquality,nonquality
661,33,3330,0.787878788,0.060606061,0.060606061,0,0.023875115,0.027231467,0.212121212,0.151515152,0.15279879,0.069591528,0.364599092,0.02269289,6,19,0,6,42,8,77,21,10.2,8.8,0.379727685,nonquality,nonquality
4655,281,25745,0.551601423,0.010676157,0.014234875,0,0.001962994,0.023630505,0.085409253,0.056939502,0.147583244,0.089795918,0.40386681,0.014178303,153,25,12,2,34,35,116,27,11.2,9.7,0.200859291,quality,quality
324,13,1618,0.769230769,0,0.076923077,0.076923077,0.059171598,0.021604938,0,0.153846154,0.148148148,0.077160494,0.354938272,0.030864198,9,16,0,1,38,2,159,3,12.8,8.6,0.515432099,nonquality,nonquality
34028,1690,168800,0.780473373,0.071005917,0.018343195,0.010059172,0.000461819,0.036499353,0.256804734,0.072781065,0.15810509,0.089955331,0.338867991,0.015046432,461,296,29,4,35,156,267,8,9.6,8.6,0.085554739,quality,quality
2300,129,12736,0.689922481,0.07751938,0.007751938,0.046511628,0.005348236,0.026521739,0.124031008,0.069767442,0.153478261,0.076956522,0.416956522,0.015217391,92,34,6,1,40,14,161,29,11,9.8,0.286521739,nonquality,nonquality
3254,214,16889,0.682242991,0.014018692,0.028037383,0.009345794,0.003188051,0.033804548,0.042056075,0.107476636,0.134603565,0.100491703,0.374923171,0.009219422,103,10,0,2,33,12,260,59,9.6,8.7,0.230485556,nonquality,nonquality
6417,315,34027,0.926984127,0.00952381,0.015873016,0,0.002942807,0.036465638,0.174603175,0.028571429,0.145706717,0.103007636,0.386785102,0.018544491,260,51,0,1,37,38,165,6,12.3,9.6,0.163472027,quality,quality
7955,371,40490,0.754716981,0.067385445,0.070080863,0,0.002034278,0.03469516,0.148247978,0.129380054,0.161156505,0.087492143,0.354242615,0.024764299,153,187,1,2,43,46,164,1,10.9,9.2,0.176699761,quality,quality
6709,429,33927,0.645687646,0.076923077,0.058275058,0,0.001505099,0.038604859,0.216783217,0.072261072,0.163511701,0.085854822,0.32270085,0.01997317,238,97,2,2,29,62,100,6,9.6,8.5,0.177969891,quality,quality
223,12,1090,0.833333333,0.083333333,0,0,0.069444444,0.02690583,0,0.083333333,0.156950673,0.071748879,0.390134529,0.004484305,7,0,2,2,17,3,66,50,9.8,7.9,0.493273543,nonquality,nonquality
5798,424,29174,0.688679245,0.051886792,0.089622642,0,0.001624244,0.02535357,0.04009434,0.08254717,0.152983788,0.075543291,0.350293205,0.021041739,163,92,3,3,24,21,270,50,8.9,8,0.170576061,quality,nonquality
3770,189,19062,0.682539683,0.037037037,0.005291005,0,0.003611321,0.023342175,0.174603175,0.08994709,0.14933687,0.091511936,0.392572944,0.013262599,51,12,0,4,38,13,284,88,9.9,8.4,0.223607427,nonquality,nonquality
1239,78,6236,0.858974359,0.064102564,0.012820513,0,0.011012492,0.040355125,0.128205128,0.025641026,0.152542373,0.108958838,0.351089588,0.01614205,13,29,0,6,29,4,307,18,9.5,8.8,0.31902834,nonquality,nonquality
449,30,2144,0.866666667,0.033333333,0.033333333,0,0.028888889,0.057906459,0.266666667,0.133333333,0.178173719,0.077951002,0.347438753,0.013363029,9,10,1,3,30,6,72,27,8.9,6.7,0.405345212,nonquality,nonquality
9812,645,49754,0.727131783,0.048062016,0.049612403,0.001550388,0.001127336,0.038218508,0.181395349,0.125581395,0.159498573,0.091520587,0.352629433,0.025275173,197,174,2,3,31,51,178,32,9.2,8,0.145332246,quality,quality
1947,93,10353,0.677419355,0.204301075,0.129032258,0.010752688,0.007284079,0.025680534,0.086021505,0.075268817,0.143810991,0.088341037,0.400616333,0.015921931,81,28,8,1,37,11,173,29,11.8,9.5,0.320308483,nonquality,nonquality
6494,281,33502,0.84341637,0.010676157,0.017793594,0,0.003001482,0.027563905,0.149466192,0.049822064,0.133199877,0.096858639,0.363566369,0.011395134,121,96,12,2,44,12,535,3,11.6,10.2,0.169233138,quality,quality
19306,1148,105659,0.838850174,0.028745645,0,0,0.000730706,0.034186263,0.175087108,0.052264808,0.140837045,0.108049311,0.408370455,0.021754895,450,277,6,3,29,88,210,5,11.2,9.8,0.111934114,quality,quality
2175,103,11275,0.86407767,0.029126214,0.019417476,0.009708738,0.008389104,0.03816092,0.203883495,0.087378641,0.15816092,0.097931034,0.325517241,0.019310345,24,8,4,4,30,9,233,30,11.3,10.2,0.296551724,nonquality,nonquality
1543,87,8790,0.781609195,0.022988506,0.045977011,0,0.008984014,0.035644848,0.08045977,0.057471264,0.134154245,0.077122489,0.47051199,0.011017498,29,49,0,3,30,15,98,44,12.6,10.7,0.283214517,quality,nonquality
3822,183,20086,0.825136612,0.010928962,0.010928962,0,0.004508943,0.049450549,0.355191257,0.06557377,0.150706436,0.08477237,0.36237572,0.010989011,79,15,1,2,31,22,168,14,11.6,10,0.230809399,quality,quality
